Year,Value (mm)
1976,244.6
1977,90.5
1978,263.5
1979,320.6
1980,179.5
1981,68.2
1982,114.5
1983,352.0
1984,217.2
1985,133.5
1986,107.0
1987,64.5
1988,349.0
1990,396.0
1991,246.5
1992,115.1
1993,148.5
1994,194.0
1995,151.5
1996,116.5
1997,281.0
1998,160.4
1999,160.7
2000,344.5
2001,295.5
2002,219.6
2003,127.5
2004,355.4
2006,356.9
2007,251.2
2008,235.1
2009,329.1
2010,103.4
2011,264.5
2012,270.7
2013,328.0
2014,319.6
2015,183.5
2016,191.3
2017,329.4
2018,194.4
2019,276.0
2020,141.5
2021,210.3
2022,589.6
