Station Name,Station Number,gum_params,nor_params,exp_params,gev_params,glo_params,gno_params,gpa_params,pe3_params,kap_params
RUMAH PAM PAYA KEMPIAN,0551621RF,"{'loc': 179.8041, 'scale': 61.0875}","{'loc': 215.0647, 'scale': 75.0503}","{'loc': 130.3795, 'scale': 84.6852}","{'c': 0.1682, 'loc': 184.8745, 'scale': 69.7931}","{'k': -0.0663, 'loc': 210.4564, 'scale': 42.037}","{'k': -0.1358, 'loc': 209.9827, 'scale': 74.4754}","{'c': -0.7513, 'loc': 98.569, 'scale': 204.0147}","{'skew': 0.4063, 'loc': 215.0647, 'scale': 75.4384}",Invalid
HULU JABOR A,0580041RF,"{'loc': 162.8444, 'scale': 89.9873}","{'loc': 214.7865, 'scale': 110.5559}","{'loc': 90.0375, 'scale': 124.7489}","{'c': -0.4155, 'loc': 150.3803, 'scale': 50.8878}","{'k': -0.4666, 'loc': 171.804, 'scale': 42.3209}","{'k': -1.0099, 'loc': 167.3099, 'scale': 72.0739}","{'c': 0.2725, 'loc': 107.0355, 'scale': 78.3873}","{'skew': 2.8451, 'loc': 214.7865, 'scale': 138.8775}",Invalid
JPS. KEMAMAN,0600011RF,"{'loc': 166.3341, 'scale': 65.9984}","{'loc': 204.4294, 'scale': 81.0837}","{'loc': 112.9362, 'scale': 91.4932}","{'c': -0.033, 'loc': 165.3589, 'scale': 63.9563}","{'k': -0.1913, 'loc': 190.2906, 'scale': 43.0416}","{'k': -0.395, 'loc': 188.8249, 'scale': 75.9759}","{'c': -0.3576, 'loc': 96.576, 'scale': 146.4247}","{'skew': 1.1585, 'loc': 204.4294, 'scale': 84.5408}","{'k': 0.0118, 'h': 0.1582, 'loc': 158.9837, 'scale': 70.6799}"
JAMBATAN TEBAK,0600131RF,"{'loc': 186.0141, 'scale': 66.3978}","{'loc': 224.34, 'scale': 81.5744}","{'loc': 132.2931, 'scale': 92.0469}","{'c': 0.1763, 'loc': 191.8101, 'scale': 76.2698}","{'k': -0.0615, 'loc': 219.6904, 'scale': 45.7373}","{'k': -0.126, 'loc': 219.2125, 'scale': 81.0362}","{'c': -0.7681, 'loc': 96.9407, 'scale': 225.2595}","{'skew': 0.3771, 'loc': 224.34, 'scale': 81.9378}",Invalid
JAMBATAN AIR PUTIH,0600141RF,"{'loc': 161.2106, 'scale': 63.4455}","{'loc': 197.8324, 'scale': 77.9474}","{'loc': 109.8782, 'scale': 87.9542}","{'c': 0.1001, 'loc': 164.2532, 'scale': 69.032}","{'k': -0.1072, 'loc': 190.1213, 'scale': 43.1505}","{'k': -0.22, 'loc': 189.3271, 'scale': 76.3908}","{'c': -0.6127, 'loc': 82.9329, 'scale': 185.2998}","{'skew': 0.6548, 'loc': 197.8324, 'scale': 78.9984}","{'k': 0.2433, 'h': 0.3573, 'loc': 146.4608, 'scale': 91.8143}"
KG. BAN HO,0600151RF,"{'loc': 154.6822, 'scale': 69.6563}","{'loc': 194.8889, 'scale': 85.5777}","{'loc': 98.3248, 'scale': 96.5641}","{'c': -0.2285, 'loc': 148.4243, 'scale': 53.671}","{'k': -0.3254, 'loc': 170.3595, 'scale': 40.2991}","{'k': -0.6835, 'loc': 167.7881, 'scale': 70.3981}","{'c': -0.0179, 'loc': 97.4628, 'scale': 99.1653}","{'skew': 1.9527, 'loc': 194.8889, 'scale': 96.05}",Invalid
AL MUKTAFI BILLAH SHAH,0620081RF,"{'loc': 194.3181, 'scale': 81.432}","{'loc': 241.322, 'scale': 100.0451}","{'loc': 128.4332, 'scale': 112.8888}","{'c': 0.0539, 'loc': 196.3739, 'scale': 85.3824}","{'k': -0.1358, 'loc': 228.8297, 'scale': 54.7482}","{'k': -0.2791, 'loc': 227.5406, 'scale': 96.8486}","{'c': -0.5218, 'loc': 98.9793, 'scale': 216.6201}","{'skew': 0.8271, 'loc': 241.322, 'scale': 102.2042}","{'k': -0.0768, 'h': -0.5462, 'loc': 217.1912, 'scale': 63.8033}"
S.M.K. SULTAN OMAR,0630011RF,"{'loc': 158.3733, 'scale': 81.5735}","{'loc': 205.4588, 'scale': 100.2189}","{'loc': 92.374, 'scale': 113.0849}","{'c': -0.28, 'loc': 149.7526, 'scale': 58.3169}","{'k': -0.363, 'loc': 173.8235, 'scale': 45.0581}","{'k': -0.7676, 'loc': 170.5014, 'scale': 78.3297}","{'c': 0.0653, 'loc': 96.0689, 'scale': 102.2414}","{'skew': 2.1801, 'loc': 205.4588, 'scale': 115.4951}",Invalid
JAMBATAN JERANGAU,0630121RF,"{'loc': 172.7376, 'scale': 77.344}","{'loc': 217.3818, 'scale': 95.0227}","{'loc': 110.1602, 'scale': 107.2216}","{'c': -0.0382, 'loc': 171.4188, 'scale': 74.5679}","{'k': -0.1947, 'loc': 200.5288, 'scale': 50.3292}","{'k': -0.4021, 'loc': 198.7812, 'scale': 88.8252}","{'c': -0.3481, 'loc': 91.5, 'scale': 169.6973}","{'skew': 1.1787, 'loc': 217.3818, 'scale': 99.2181}","{'k': 0.7719, 'h': 1.6802, 'loc': -65.3301, 'scale': 400.1691}"
SETOR JPS. K. TERENGGANU,0670051RF,"{'loc': 163.359, 'scale': 67.7676}","{'loc': 202.4756, 'scale': 83.2573}","{'loc': 108.5297, 'scale': 93.9459}","{'c': -0.0083, 'loc': 163.1053, 'scale': 67.2492}","{'k': -0.1752, 'loc': 189.1391, 'scale': 44.6359}","{'k': -0.3613, 'loc': 187.7585, 'scale': 78.8471}","{'c': -0.4036, 'loc': 89.5731, 'scale': 158.466}","{'skew': 1.063, 'loc': 202.4756, 'scale': 86.24}","{'k': -0.0305, 'h': -0.0833, 'loc': 166.2151, 'scale': 63.9946}"
KG. DURA,0670181RF,"{'loc': 178.6924, 'scale': 81.3097}","{'loc': 225.6256, 'scale': 99.8948}","{'loc': 112.9064, 'scale': 112.7192}","{'c': 0.0648, 'loc': 181.1754, 'scale': 86.0299}","{'k': -0.129, 'loc': 213.7686, 'scale': 54.8306}","{'k': -0.2649, 'loc': 212.5456, 'scale': 97.0139}","{'c': -0.5431, 'loc': 82.2967, 'scale': 221.1728}","{'skew': 0.7861, 'loc': 225.6256, 'scale': 101.8405}","{'k': 0.1755, 'h': 0.302, 'loc': 163.1858, 'scale': 107.9419}"
KG. SG. TONG,0670211RF,"{'loc': 180.5581, 'scale': 56.6098}","{'loc': 213.2341, 'scale': 69.5491}","{'loc': 134.7563, 'scale': 78.4778}","{'c': 0.2409, 'loc': 187.4834, 'scale': 67.6732}","{'k': -0.0241, 'loc': 211.6786, 'scale': 39.2014}","{'k': -0.0493, 'loc': 211.5189, 'scale': 69.4786}","{'c': -0.9058, 'loc': 99.212, 'scale': 217.3086}","{'skew': 0.148, 'loc': 213.2341, 'scale': 69.5967}","{'k': 0.3575, 'h': 0.239, 'loc': 176.5632, 'scale': 83.7012}"
KG. MENERONG,0670221RF,"{'loc': 195.9516, 'scale': 93.6725}","{'loc': 250.0208, 'scale': 115.0833}","{'loc': 120.1632, 'scale': 129.8576}","{'c': -0.048, 'loc': 193.9548, 'scale': 89.428}","{'k': -0.2012, 'loc': 228.9599, 'scale': 60.6919}","{'k': -0.4157, 'loc': 226.7748, 'scale': 107.0796}","{'c': -0.3301, 'loc': 98.7317, 'scale': 201.2263}","{'skew': 1.2169, 'loc': 250.0208, 'scale': 120.5036}",Invalid
KG. EMBONG SEKAYU,0670251RF,"{'loc': 181.6375, 'scale': 85.395}","{'loc': 230.9289, 'scale': 104.9139}","{'loc': 112.5463, 'scale': 118.3826}","{'c': 0.1281, 'loc': 186.9443, 'scale': 94.8737}","{'k': -0.0902, 'loc': 222.1797, 'scale': 58.402}","{'k': -0.185, 'loc': 221.2794, 'scale': 103.428}","{'c': -0.669, 'loc': 72.9483, 'scale': 263.6667}","{'skew': 0.5519, 'loc': 230.9289, 'scale': 105.917}","{'k': 0.3418, 'h': 0.4815, 'loc': 150.8344, 'scale': 143.5557}"
SG. GAWI,0670281RF,"{'loc': 183.2086, 'scale': 106.3181}","{'loc': 244.5771, 'scale': 130.6194}","{'loc': 97.1889, 'scale': 147.3882}","{'c': 0.0246, 'loc': 184.4171, 'scale': 108.7082}","{'k': -0.1542, 'loc': 226.1022, 'scale': 70.8452}","{'k': -0.3174, 'loc': 224.193, 'scale': 125.2473}","{'c': -0.4656, 'loc': 62.8778, 'scale': 266.2962}","{'skew': 0.9376, 'loc': 244.5771, 'scale': 134.2498}","{'k': 0.6172, 'h': 1.2381, 'loc': 1.0143, 'scale': 358.1606}"
KG. SELADANG,0680071RF,"{'loc': 213.6608, 'scale': 131.6405}","{'loc': 289.6457, 'scale': 161.7297}","{'loc': 107.1533, 'scale': 182.4924}","{'c': -0.3064, 'loc': 198.7701, 'scale': 90.3062}","{'k': -0.3827, 'loc': 236.2169, 'scale': 70.7994}","{'k': -0.8123, 'loc': 230.6042, 'scale': 122.7084}","{'c': 0.1071, 'loc': 116.9254, 'scale': 154.2225}","{'skew': 2.3013, 'loc': 289.6457, 'scale': 189.1677}",Invalid
