Station Name,Station Number,gum_params,nor_params,exp_params,gev_params,glo_params,gno_params,gpa_params,pe3_params,kap_params
RUMAH PAM PAYA KEMPIAN,0551621RF,"{'loc': 3.3333, 'scale': 11.1538}","{'loc': 9.7714, 'scale': 13.7032}","{'loc': -5.691, 'scale': 15.4624}","{'c': -0.6351, 'loc': 1.5252, 'scale': 3.6409}","{'k': -0.6496, 'loc': 3.0696, 'scale': 3.378}","{'k': -1.5023, 'loc': 2.4249, 'scale': 5.2785}","{'c': 0.5751, 'loc': -1.2446, 'scale': 4.6805}","{'skew': 4.3545, 'loc': 9.7714, 'scale': 21.318}","{'k': -0.0962, 'h': 4.5902, 'loc': -41.2985, 'scale': 25.1384}"
HULU JABOR A,0580041RF,"{'loc': 2.271, 'scale': 9.7104}","{'loc': 7.876, 'scale': 11.9299}","{'loc': -5.5855, 'scale': 13.4614}","{'c': -0.7398, 'loc': 0.7199, 'scale': 2.1383}","{'k': -0.7439, 'loc': 1.6175, 'scale': 2.0749}","{'k': -1.8157, 'loc': 1.0879, 'scale': 2.9353}","{'c': 0.7063, 'loc': -0.8314, 'scale': 2.5571}","{'skew': 5.5355, 'loc': 7.876, 'scale': 21.804}","{'k': -0.1209, 'h': 7.3639, 'loc': -62.1383, 'scale': 27.5112}"
JPS. KEMAMAN,0600011RF,"{'loc': 2.2342, 'scale': 9.4081}","{'loc': 7.6647, 'scale': 11.5585}","{'loc': -5.3777, 'scale': 13.0424}","{'c': -0.7347, 'loc': 0.7284, 'scale': 2.1193}","{'k': -0.7392, 'loc': 1.6187, 'scale': 2.0522}","{'k': -1.7983, 'loc': 1.1025, 'scale': 2.9226}","{'c': 0.7, 'loc': -0.8126, 'scale': 2.5429}","{'skew': 5.4634, 'loc': 7.6647, 'scale': 20.9263}","{'k': -0.1416, 'h': 7.0236, 'loc': -54.5682, 'scale': 24.3047}"
JAMBATAN TEBAK,0600131RF,"{'loc': 3.0604, 'scale': 11.022}","{'loc': 9.4225, 'scale': 13.5413}","{'loc': -5.8572, 'scale': 15.2797}","{'c': -0.6641, 'loc': 1.2711, 'scale': 3.2661}","{'k': -0.6752, 'loc': 2.654, 'scale': 3.0699}","{'k': -1.5817, 'loc': 2.0198, 'scale': 4.6957}","{'c': 0.6122, 'loc': -1.1801, 'scale': 4.1116}","{'skew': 4.6327, 'loc': 9.4225, 'scale': 21.9039}","{'k': -0.0578, 'h': 5.4325, 'loc': -54.306, 'scale': 30.5275}"
JAMBATAN AIR PUTIH,0600141RF,"{'loc': 2.8354, 'scale': 10.368}","{'loc': 8.82, 'scale': 12.7378}","{'loc': -5.5531, 'scale': 14.3731}","{'c': -0.6686, 'loc': 1.1525, 'scale': 3.0236}","{'k': -0.6793, 'loc': 2.4322, 'scale': 2.8476}","{'k': -1.5947, 'loc': 1.8364, 'scale': 4.3395}","{'c': 0.618, 'loc': -1.1119, 'scale': 3.7939}","{'skew': 4.6794, 'loc': 8.82, 'scale': 20.7385}","{'k': -0.0158, 'h': 5.7676, 'loc': -59.4852, 'scale': 33.4661}"
KG. BAN HO,0600151RF,"{'loc': 2.8383, 'scale': 10.2794}","{'loc': 8.7717, 'scale': 12.629}","{'loc': -5.4785, 'scale': 14.2503}","{'c': -0.6603, 'loc': 1.1695, 'scale': 3.0861}","{'k': -0.6718, 'loc': 2.4765, 'scale': 2.8959}","{'k': -1.5711, 'loc': 1.8844, 'scale': 4.4428}","{'c': 0.6074, 'loc': -1.1507, 'scale': 3.8955}","{'skew': 4.5948, 'loc': 8.7717, 'scale': 20.3205}","{'k': 0.0852, 'h': 6.0532, 'loc': -75.1015, 'scale': 44.978}"
AL MUKTAFI BILLAH SHAH,0620081RF,"{'loc': 3.1232, 'scale': 11.3324}","{'loc': 9.6645, 'scale': 13.9227}","{'loc': -6.0456, 'scale': 15.7101}","{'c': -0.6655, 'loc': 1.2836, 'scale': 3.3413}","{'k': -0.6765, 'loc': 2.6982, 'scale': 3.1426}","{'k': -1.5858, 'loc': 2.0463, 'scale': 4.8013}","{'c': 0.614, 'loc': -1.2224, 'scale': 4.202}","{'skew': 4.6473, 'loc': 9.6645, 'scale': 22.5668}","{'k': -0.0352, 'h': 5.5878, 'loc': -60.2991, 'scale': 33.9765}"
S.M.K. SULTAN OMAR,0630011RF,"{'loc': 2.0773, 'scale': 8.8153}","{'loc': 7.1657, 'scale': 10.8302}","{'loc': -5.055, 'scale': 12.2206}","{'c': -0.7351, 'loc': 0.6666, 'scale': 1.9821}","{'k': -0.7396, 'loc': 1.4992, 'scale': 1.9197}","{'k': -1.7998, 'loc': 1.0157, 'scale': 2.7324}","{'c': 0.7006, 'loc': -0.7743, 'scale': 2.3776}","{'skew': 5.4693, 'loc': 7.1657, 'scale': 19.6229}","{'k': -0.0661, 'h': 7.552, 'loc': -64.7134, 'scale': 29.9132}"
JAMBATAN JERANGAU,0630121RF,"{'loc': 3.1885, 'scale': 11.3415}","{'loc': 9.735, 'scale': 13.9339}","{'loc': -5.9877, 'scale': 15.7227}","{'c': -0.6569, 'loc': 1.3473, 'scale': 3.4445}","{'k': -0.6688, 'loc': 2.8065, 'scale': 3.2273}","{'k': -1.5617, 'loc': 2.1526, 'scale': 4.9643}","{'c': 0.6031, 'loc': -1.2464, 'scale': 4.3584}","{'skew': 4.5613, 'loc': 9.735, 'scale': 22.3158}","{'k': -0.0291, 'h': 5.4126, 'loc': -58.5635, 'scale': 33.8147}"
SETOR JPS. K. TERENGGANU,0670051RF,"{'loc': 2.0798, 'scale': 8.9975}","{'loc': 7.2733, 'scale': 11.0541}","{'loc': -5.2, 'scale': 12.4732}","{'c': -0.744, 'loc': 0.6451, 'scale': 1.9444}","{'k': -0.7478, 'loc': 1.4608, 'scale': 1.8899}","{'k': -1.8301, 'loc': 0.9726, 'scale': 2.6587}","{'c': 0.7114, 'loc': -0.763, 'scale': 2.319}","{'skew': 5.5956, 'loc': 7.2733, 'scale': 20.3627}","{'k': -0.1007, 'h': 7.6718, 'loc': -62.9794, 'scale': 27.8415}"
KG. DURA,0670181RF,"{'loc': 3.2402, 'scale': 11.4201}","{'loc': 9.8321, 'scale': 14.0304}","{'loc': -5.9995, 'scale': 15.8316}","{'c': -0.6554, 'loc': 1.3863, 'scale': 3.4869}","{'k': -0.6674, 'loc': 2.8636, 'scale': 3.2647}","{'k': -1.5573, 'loc': 2.2051, 'scale': 5.0279}","{'c': 0.6011, 'loc': -1.2412, 'scale': 4.4169}","{'skew': 4.546, 'loc': 9.8321, 'scale': 22.422}","{'k': -0.082, 'h': 5.0985, 'loc': -49.6672, 'scale': 28.4763}"
KG. SG. TONG,0670211RF,"{'loc': 3.4774, 'scale': 11.8414}","{'loc': 10.3124, 'scale': 14.548}","{'loc': -6.1032, 'scale': 16.4156}","{'c': -0.6385, 'loc': 1.5571, 'scale': 3.8229}","{'k': -0.6526, 'loc': 3.1784, 'scale': 3.5523}","{'k': -1.5115, 'loc': 2.4941, 'scale': 5.538}","{'c': 0.5795, 'loc': -1.3464, 'scale': 4.902}","{'skew': 4.386, 'loc': 10.3124, 'scale': 22.7328}","{'k': -0.0521, 'h': 4.8873, 'loc': -51.4572, 'scale': 31.0815}"
KG. MENERONG,0670221RF,"{'loc': 3.6936, 'scale': 12.2907}","{'loc': 10.788, 'scale': 15.1}","{'loc': -6.2505, 'scale': 17.0385}","{'c': -0.6302, 'loc': 1.7026, 'scale': 4.076}","{'k': -0.6452, 'loc': 3.432, 'scale': 3.773}","{'k': -1.4891, 'loc': 2.7216, 'scale': 5.9154}","{'c': 0.5687, 'loc': -1.4055, 'scale': 5.259}","{'skew': 4.3096, 'loc': 10.788, 'scale': 23.3425}","{'k': -0.0764, 'h': 4.5935, 'loc': -47.203, 'scale': 29.1595}"
KG. EMBONG SEKAYU,0670251RF,"{'loc': 3.7994, 'scale': 12.7323}","{'loc': 11.1487, 'scale': 15.6426}","{'loc': -6.502, 'scale': 17.6507}","{'c': -0.6355, 'loc': 1.7354, 'scale': 4.1517}","{'k': -0.6499, 'loc': 3.4965, 'scale': 3.8525}","{'k': -1.5032, 'loc': 2.7605, 'scale': 6.0186}","{'c': 0.5756, 'loc': -1.4226, 'scale': 5.3358}","{'skew': 4.3576, 'loc': 11.1487, 'scale': 24.3456}","{'k': -0.1096, 'h': 4.5264, 'loc': -45.2068, 'scale': 27.4971}"
SG. GAWI,0670281RF,"{'loc': 3.2876, 'scale': 11.9112}","{'loc': 10.1629, 'scale': 14.6338}","{'loc': -6.3495, 'scale': 16.5124}","{'c': -0.6709, 'loc': 1.3545, 'scale': 3.4456}","{'k': -0.6813, 'loc': 2.8125, 'scale': 3.2484}","{'k': -1.6012, 'loc': 2.1286, 'scale': 4.9408}","{'c': 0.6209, 'loc': -1.2233, 'scale': 4.3166}","{'skew': 4.7031, 'loc': 10.1629, 'scale': 23.9036}","{'k': -0.1415, 'h': 5.126, 'loc': -46.7524, 'scale': 25.4056}"
KG. SELADANG,0680071RF,"{'loc': 4.2222, 'scale': 13.9133}","{'loc': 12.2531, 'scale': 17.0935}","{'loc': -7.0348, 'scale': 19.2879}","{'c': -0.623, 'loc': 1.971, 'scale': 4.7188}","{'k': -0.639, 'loc': 3.9737, 'scale': 4.3538}","{'k': -1.4704, 'loc': 3.1698, 'scale': 6.8573}","{'c': 0.5594, 'loc': -1.6397, 'scale': 6.1208}","{'skew': 4.2462, 'loc': 12.2531, 'scale': 26.1881}","{'k': -0.0399, 'h': 4.6339, 'loc': -57.6393, 'scale': 36.4103}"
KG. BATU HAMPAR,0680081RF,"{'loc': 3.4185, 'scale': 12.0219}","{'loc': 10.3577, 'scale': 14.7698}","{'loc': -6.3082, 'scale': 16.6659}","{'c': -0.6519, 'loc': 1.467, 'scale': 3.7139}","{'k': -0.6644, 'loc': 3.0409, 'scale': 3.4719}","{'k': -1.5477, 'loc': 2.3472, 'scale': 5.361}","{'c': 0.5967, 'loc': -1.3361, 'scale': 4.7163}","{'skew': 4.5122, 'loc': 10.3577, 'scale': 23.4923}","{'k': -0.0324, 'h': 5.2789, 'loc': -59.7557, 'scale': 34.9339}"
INST. PERTANIAN BESUT,0690051RF,"{'loc': 3.1048, 'scale': 11.8504}","{'loc': 9.945, 'scale': 14.5591}","{'loc': -6.4832, 'scale': 16.4282}","{'c': -0.6908, 'loc': 1.1856, 'scale': 3.1883}","{'k': -0.6991, 'loc': 2.5323, 'scale': 3.0317}","{'k': -1.6594, 'loc': 1.8579, 'scale': 4.5304}","{'c': 0.6458, 'loc': -1.1782, 'scale': 3.9394}","{'skew': 4.9176, 'loc': 9.945, 'scale': 24.4951}","{'k': -0.101, 'h': 5.8807, 'loc': -59.6254, 'scale': 30.7186}"
PENGKALAN NYIREH,0700011RF,"{'loc': 2.343, 'scale': 9.8454}","{'loc': 8.0259, 'scale': 12.0958}","{'loc': -5.6227, 'scale': 13.6486}","{'c': -0.7313, 'loc': 0.7652, 'scale': 2.2501}","{'k': -0.7361, 'loc': 1.7109, 'scale': 2.176}","{'k': -1.7872, 'loc': 1.1687, 'scale': 3.1118}","{'c': 0.696, 'loc': -0.8733, 'scale': 2.7057}","{'skew': 5.4178, 'loc': 8.0259, 'scale': 21.7675}","{'k': -0.0921, 'h': 7.2379, 'loc': -65.2234, 'scale': 30.0326}"
KG. LA,0700131RF,"{'loc': 2.7441, 'scale': 10.7335}","{'loc': 8.9397, 'scale': 13.1869}","{'loc': -5.9401, 'scale': 14.8798}","{'c': -0.7052, 'loc': 1.0106, 'scale': 2.7317}","{'k': -0.7122, 'loc': 2.1627, 'scale': 2.6135}","{'k': -1.7034, 'loc': 1.5576, 'scale': 3.8499}","{'c': 0.6638, 'loc': -1.0015, 'scale': 3.3423}","{'skew': 5.0851, 'loc': 8.9397, 'scale': 22.6978}","{'k': -0.1747, 'h': 5.8268, 'loc': -46.4055, 'scale': 22.4737}"
