filename,gum_params,nor_params,exp_params,gev_params,glo_params,gno_params,gpa_params,pe3_params,kap_params
0551621RF.csv,"{'loc': 3.3332696763567267, 'scale': 11.153772601851001}","{'loc': 9.771401944894652, 'scale': 13.703205902817546}","{'loc': -5.691010118264922, 'scale': 15.462412063159574}","{'c': -0.6351175122835759, 'loc': 1.5252285989982042, 'scale': 3.640927792546786}","{'k': -0.6495673514206887, 'loc': 3.0696375780900427, 'scale': 3.377958701988968}","{'k': -1.5022972259658105, 'loc': 2.424949550964536, 'scale': 5.278483304143388}","{'c': 0.5751217453746262, 'loc': -1.2446254115319153, 'scale': 4.68047047610389}","{'skew': 4.354496758953261, 'loc': 9.771401944894652, 'scale': 21.318042275359776}","{'k': -0.09622972972978246, 'h': 4.5902308757849974, 'loc': -41.298549630762324, 'scale': 25.138407372200447}"
0580041RF.csv,"{'loc': 2.2709986962860524, 'scale': 9.71037771580368}","{'loc': 7.875980825958702, 'scale': 11.929892242173441}","{'loc': -5.585461045804183, 'scale': 13.461441871762885}","{'c': -0.7398182265073927, 'loc': 0.7199166718411991, 'scale': 2.138301463421206}","{'k': -0.7439273630976936, 'loc': 1.6175349221025144, 'scale': 2.074891777536147}","{'k': -1.815746684285245, 'loc': 1.087913084224935, 'scale': 2.935314450682134}","{'c': 0.7063264877644319, 'loc': -0.8313745670405153, 'scale': 2.557119640545396}","{'skew': 5.535503695616524, 'loc': 7.875980825958702, 'scale': 21.804047886297155}","{'k': -0.12093503932805902, 'h': 7.363873905309553, 'loc': -62.13834262653558, 'scale': 27.511174858074213}"
0600011RF.csv,"{'loc': 2.234237508777153, 'scale': 9.408102171501575}","{'loc': 7.66474145916199, 'scale': 11.558525156720167}","{'loc': -5.377657530030442, 'scale': 13.042398989192431}","{'c': -0.7346536741178525, 'loc': 0.7283751961770246, 'scale': 2.1192902229559563}","{'k': -0.739160369388544, 'loc': 1.618699407909979, 'scale': 2.0522048186541095}","{'k': -1.7983279335537774, 'loc': 1.1024669922051515, 'scale': 2.9225802731971937}","{'c': 0.700039587834948, 'loc': -0.8125597236438349, 'scale': 2.542854756841718}","{'skew': 5.463449417609587, 'loc': 7.66474145916199, 'scale': 20.926324796382566}","{'k': -0.14156494201939104, 'h': 7.023638389526405, 'loc': -54.56816459966086, 'scale': 24.304739683354285}"
0600131RF.csv,"{'loc': 3.0604124682023395, 'scale': 11.021954199030523}","{'loc': 9.422457089709985, 'scale': 13.54125758451224}","{'loc': -5.8572158649277295, 'scale': 15.279672954637714}","{'c': -0.6640684862924199, 'loc': 1.2711275188216202, 'scale': 3.2661470528904597}","{'k': -0.6751838155510637, 'loc': 2.654023358059372, 'scale': 3.0698995650784724}","{'k': -1.581719760676307, 'loc': 2.019759552680915, 'scale': 4.695710223661113}","{'c': 0.6122023369213536, 'loc': -1.180090119816123, 'scale': 4.111643030535248}","{'skew': 4.6327148215517555, 'loc': 9.422457089709985, 'scale': 21.903884010493}","{'k': -0.05779509900387675, 'h': 5.432507712216625, 'loc': -54.30601472201198, 'scale': 30.52745498298644}"
0600141RF.csv,"{'loc': 2.8353834425103948, 'scale': 10.367998281285423}","{'loc': 8.81995446414051, 'scale': 12.737826054023627}","{'loc': -5.5531430893061895, 'scale': 14.3730975534467}","{'c': -0.6686395069200761, 'loc': 1.152517918144408, 'scale': 3.023568523683018}","{'k': -0.6792612205025655, 'loc': 2.4322451123184674, 'scale': 2.8476255261890575}","{'k': -1.594699904349598, 'loc': 1.836448513455334, 'scale': 4.339521896292753}","{'c': 0.6180001353196921, 'loc': -1.1118549728095921, 'scale': 3.7939498609455438}","{'skew': 4.679407615640465, 'loc': 8.81995446414051, 'scale': 20.738457997117937}","{'k': -0.015775570173971524, 'h': 5.767589094037432, 'loc': -59.485191110900544, 'scale': 33.4660923898358}"
0600151RF.csv,"{'loc': 2.8383121024846227, 'scale': 10.279386516357944}","{'loc': 8.771735025304025, 'scale': 12.628960174867025}","{'loc': -5.478520538094829, 'scale': 14.250255563398854}","{'c': -0.6602947161554554, 'loc': 1.1694952147930247, 'scale': 3.0861394949418917}","{'k': -0.6718243460988012, 'loc': 2.476544188369666, 'scale': 2.895865314108836}","{'k': -1.5710980245101924, 'loc': 1.88441693929704, 'scale': 4.44281185979122}","{'c': 0.6074041454570319, 'loc': -1.1506883865795299, 'scale': 3.895502298525577}","{'skew': 4.594769709789539, 'loc': 8.771735025304025, 'scale': 20.320461610089268}","{'k': 0.08524963853009958, 'h': 6.053191431572403, 'loc': -75.10145940020881, 'scale': 44.97803465579204}"
0620081RF.csv,"{'loc': 3.123240066926125, 'scale': 11.332446618243571}","{'loc': 9.664505776636716, 'scale': 13.922719687391606}","{'loc': -6.045601067926521, 'scale': 15.710106844563237}","{'c': -0.6655087614671296, 'loc': 1.2836181785036285, 'scale': 3.3413359152032185}","{'k': -0.6764675868748067, 'loc': 2.6981918945433474, 'scale': 3.1425678810494513}","{'k': -1.5857959964590096, 'loc': 2.0463341206967653, 'scale': 4.801277317686638}","{'c': 0.6140308161539735, 'loc': -1.222356204109877, 'scale': 4.2019932333530985}","{'skew': 4.647339585439484, 'loc': 9.664505776636716, 'scale': 22.56679792972282}","{'k': -0.035172274699855136, 'h': 5.5877922696189, 'loc': -60.29912195685998, 'scale': 33.976455262784754}"
0630011RF.csv,"{'loc': 2.077319661216885, 'scale': 8.815307912823357}","{'loc': 7.165653479428963, 'scale': 10.83023509069106}","{'loc': -5.05495817165361, 'scale': 12.220611651082573}","{'c': -0.7350785982021086, 'loc': 0.6665691060274623, 'scale': 1.982083012392691}","{'k': -0.7395521364040537, 'loc': 1.499199943078347, 'scale': 1.9196680068988827}","{'k': -1.7997517337023385, 'loc': 1.0157268427415627, 'scale': 2.7323618432460184}","{'c': 0.7005575651968263, 'loc': -0.7743371999044228, 'scale': 2.377570141334094}","{'skew': 5.469306952025548, 'loc': 7.165653479428963, 'scale': 19.62290900921652}","{'k': -0.06607690661472927, 'h': 7.551961859822359, 'loc': -64.71339118772545, 'scale': 29.913196552340136}"
0630121RF.csv,"{'loc': 3.188499311623942, 'scale': 11.341541475651313}","{'loc': 9.735014715500327, 'scale': 13.933893368993683}","{'loc': -5.987700278602452, 'scale': 15.722714994102779}","{'c': -0.6569260294587476, 'loc': 1.3472788391072843, 'scale': 3.444543688604621}","{'k': -0.6688306587158914, 'loc': 2.806471404155717, 'scale': 3.2273353101831894}","{'k': -1.5616871484568637, 'loc': 2.1526479194933836, 'scale': 4.964339335911529}","{'c': 0.6031121078049559, 'loc': -1.2464203883474934, 'scale': 4.358398631642826}","{'skew': 4.5613457290296, 'loc': 9.735014715500327, 'scale': 22.315780218786575}","{'k': -0.02908085824429975, 'h': 5.412626661562436, 'loc': -58.56352922958445, 'scale': 33.81468180473924}"
0670051RF.csv,"{'loc': 2.079751084531936, 'scale': 8.997534034090732}","{'loc': 7.2732686744937896, 'scale': 11.054112889686552}","{'loc': -5.199962020950493, 'scale': 12.473230695444283}","{'c': -0.7440244238758315, 'loc': 0.6450652820170584, 'scale': 1.9444328060923493}","{'k': -0.7478185359592289, 'loc': 1.4607712939911055, 'scale': 1.8899220663677716}","{'k': -1.830120229343481, 'loc': 0.9725772708954592, 'scale': 2.6587348355394846}","{'c': 0.7114328989509542, 'loc': -0.7630286844785159, 'scale': 2.3190110320467414}","{'skew': 5.595614626543975, 'loc': 7.2732686744937896, 'scale': 20.36272427325337}","{'k': -0.10073888606054042, 'h': 7.6717822273426615, 'loc': -62.97935394465431, 'scale': 27.841507513161805}"
